S.No,Radius(m),particle density(kg/m^3),fluid density(kg/m^3),Viscosity(Pa.s),Terminal velocity(m/s),Drag(N),cd,Reynolds,Region,iterations,error
43,0.1,3500.0,1200.0,1.4,3.0010093688964847,94.51303861941585,0.5567444552438271,514.4587489536832,Intermediate region,18,1.4445081453939694e-05
44,0.1,2600.0,1200.0,1.4,2.2104034423828125,57.52937218592686,0.6246624713017183,378.92630440848217,Intermediate region,17,9.169546052018538e-06
45,0.1,2267.0,1200.0,1.4,1.8679384591238843,43.845017808516104,0.6666440387125895,320.2180215640945,Intermediate region,14,4.1107885556681385e-06
46,0.001,7600.0,1000.0,0.001,0.6583559417724608,0.000271197214337183,0.39833074471368873,1316.7118835449216,Newtons region,19,3.759580866219278e-05
47,0.001,5323.0,1000.0,0.001,0.5096665679168699,0.0001776388808245277,0.4353573272394428,1019.3331358337398,Newtons region,19,1.1107342926915475e-05
48,0.001,3500.0,1000.0,0.001,0.36538600921630854,0.00010273082059532144,0.48986572318828664,730.7720184326171,Intermediate region,19,7.21135364479107e-06
49,0.001,2600.0,1000.0,0.001,0.2781815185546874,6.574727755978943e-05,0.5408805322506806,556.3630371093749,Intermediate region,19,4.031417561752118e-07
50,0.001,2267.0,1000.0,0.001,0.24107335205078118,5.206513982423784e-05,0.5703333253064427,482.14670410156236,Intermediate region,14,2.9490766329818247e-05
51,0.003,7600.0,1000.0,0.001,1.58021891784668,0.007322710576102639,0.20743162493625483,9481.31350708008,Newtons region,19,1.5088892695047502e-05
52,0.003,5323.0,1000.0,0.001,1.2279613724327088,0.004796140725858016,0.22498839617461577,7367.768234596252,Newtons region,21,3.3844939561036276e-05
